category,tokenizer_name,text,character_count,word_count,token_count,tokens_per_word,tokens_per_character,token_pieces
Python code,google/gemma-2-2b-it -> gpt2,"def estimate_cost(tokens, price_per_million=0.15):
    total = (tokens / 1_000_000) * price_per_million
    return round(total, 6)",130,13,53,4.0769,0.4077,"['def', 'Ġestimate', '_', 'cost', '(', 't', 'ok', 'ens', ',', 'Ġprice', '_', 'per', '_', 'million', '=', '0', '.', '15', '):', 'Ċ', 'Ġ', 'Ġ', 'Ġ', 'Ġtotal', 'Ġ=', 'Ġ(', 't', 'ok', 'ens', 'Ġ/', 'Ġ1', '_', '000', '_', '000', ')', 'Ġ*', 'Ġprice', '_', 'per', '_', 'million', 'Ċ', 'Ġ', 'Ġ', 'Ġ', 'Ġreturn', 'Ġround', '(', 'total', ',', 'Ġ6', ')']"
SQL query,mistralai/Mistral-7B-Instruct-v0.2,"SELECT model_name, AVG(latency_ms) AS avg_latency FROM inference_logs WHERE status = 'success' GROUP BY model_name ORDER BY avg_latency ASC;",140,18,49,2.7222,0.35,"['▁SE', 'LECT', '▁model', '_', 'name', ',', '▁AV', 'G', '(', 'lat', 'ency', '_', 'ms', ')', '▁AS', '▁av', 'g', '_', 'lat', 'ency', '▁FROM', '▁in', 'ference', '_', 'logs', '▁WHERE', '▁status', '▁=', ""▁'"", 'success', ""'"", '▁G', 'RO', 'UP', '▁BY', '▁model', '_', 'name', '▁OR', 'DER', '▁BY', '▁av', 'g', '_', 'lat', 'ency', '▁A', 'SC', ';']"
Python code,Qwen/Qwen2.5-1.5B-Instruct,"def estimate_cost(tokens, price_per_million=0.15):
    total = (tokens / 1_000_000) * price_per_million
    return round(total, 6)",130,13,46,3.5385,0.3538,"['def', 'Ġestimate', '_cost', '(tokens', ',', 'Ġprice', '_per', '_m', 'illion', '=', '0', '.', '1', '5', '):Ċ', 'ĠĠĠ', 'Ġtotal', 'Ġ=', 'Ġ(', 'tokens', 'Ġ/', 'Ġ', '1', '_', '0', '0', '0', '_', '0', '0', '0', ')', 'Ġ*', 'Ġprice', '_per', '_m', 'illion', 'Ċ', 'ĠĠĠ', 'Ġreturn', 'Ġround', '(total', ',', 'Ġ', '6', ')']"
JSON payload,google/gemma-2-2b-it -> gpt2,"{""model"":""qwen2.5"",""prompt_tokens"":128,""decode_tokens"":64,""use_cache"":true,""metadata"":{""team"":""infra"",""env"":""dev""}}",115,1,45,45.0,0.3913,"['{""', 'model', '"":""', 'q', 'wen', '2', '.', '5', '"",""', 'prom', 'pt', '_', 't', 'ok', 'ens', '"":', '128', ',""', 'dec', 'ode', '_', 't', 'ok', 'ens', '"":', '64', ',""', 'use', '_', 'cache', '"":', 'true', ',""', 'metadata', '"":{""', 'team', '"":""', 'inf', 'ra', '"",""', 'env', '"":""', 'dev', '""', '}}']"
JSON payload,mistralai/Mistral-7B-Instruct-v0.2,"{""model"":""qwen2.5"",""prompt_tokens"":128,""decode_tokens"":64,""use_cache"":true,""metadata"":{""team"":""infra"",""env"":""dev""}}",115,1,44,44.0,0.3826,"['▁{""', 'model', '"":""', 'q', 'wen', '2', '.', '5', '"",""', 'prom', 'pt', '_', 'tokens', '"":', '1', '2', '8', ',""', 'decode', '_', 'tokens', '"":', '6', '4', ',""', 'use', '_', 'cache', '"":', 'true', ',""', 'metadata', '"":', '{""', 'team', '"":""', 'inf', 'ra', '"",""', 'env', '"":""', 'dev', '""', '}}']"
emoji-heavy text,mistralai/Mistral-7B-Instruct-v0.2,"The launch looked great 🚀🔥, but the logs were noisy 😅📉 and the retry loop kept spinning 🔁🤖 until the queue recovered ✅.",119,23,42,1.8261,0.3529,"['▁The', '▁launch', '▁looked', '▁great', '▁', '🚀', '🔥', ',', '▁but', '▁the', '▁logs', '▁were', '▁no', 'isy', '▁', '😅', '<0xF0>', '<0x9F>', '<0x93>', '<0x89>', '▁and', '▁the', '▁retry', '▁loop', '▁kept', '▁spinning', '▁', '<0xF0>', '<0x9F>', '<0x94>', '<0x81>', '<0xF0>', '<0x9F>', '<0xA4>', '<0x96>', '▁until', '▁the', '▁queue', '▁recovered', '▁', '✅', '.']"
emoji-heavy text,google/gemma-2-2b-it -> gpt2,"The launch looked great 🚀🔥, but the logs were noisy 😅📉 and the retry loop kept spinning 🔁🤖 until the queue recovered ✅.",119,23,41,1.7826,0.3445,"['The', 'Ġlaunch', 'Ġlooked', 'Ġgreat', 'ĠðŁ', 'ļ', 'Ģ', 'ðŁ', 'Ķ', '¥', ',', 'Ġbut', 'Ġthe', 'Ġlogs', 'Ġwere', 'Ġnoisy', 'ĠðŁ', 'ĺħ', 'ðŁ', 'ĵ', 'ī', 'Ġand', 'Ġthe', 'Ġret', 'ry', 'Ġloop', 'Ġkept', 'Ġspinning', 'ĠðŁ', 'Ķ', 'ģ', 'ðŁ', '¤', 'ĸ', 'Ġuntil', 'Ġthe', 'Ġqueue', 'Ġrecovered', 'Ġâľ', 'ħ', '.']"
SQL query,google/gemma-2-2b-it -> gpt2,"SELECT model_name, AVG(latency_ms) AS avg_latency FROM inference_logs WHERE status = 'success' GROUP BY model_name ORDER BY avg_latency ASC;",140,18,41,2.2778,0.2929,"['SELECT', 'Ġmodel', '_', 'name', ',', 'ĠAVG', '(', 'lat', 'ency', '_', 'ms', ')', 'ĠAS', 'Ġavg', '_', 'lat', 'ency', 'ĠFROM', 'Ġinference', '_', 'log', 's', 'ĠWHERE', 'Ġstatus', 'Ġ=', ""Ġ'"", 'success', ""'"", 'ĠGROUP', 'ĠBY', 'Ġmodel', '_', 'name', 'ĠORDER', 'ĠBY', 'Ġavg', '_', 'lat', 'ency', 'ĠASC', ';']"
punctuation-heavy text,mistralai/Mistral-7B-Instruct-v0.2,"Wait... what?! --- tokenizers split: commas, colons; braces { }, brackets [ ], slashes /, backslashes \\, and quotes '""' in surprising ways.",140,23,41,1.7826,0.2929,"['▁Wait', '...', '▁what', '?!', '▁---', '▁token', 'izers', '▁split', ':', '▁comm', 'as', ',', '▁col', 'ons', ';', '▁br', 'aces', '▁{', '▁},', '▁br', 'ack', 'ets', '▁[', '▁],', '▁sl', 'ashes', '▁/', ',', '▁back', 'sl', 'ashes', '▁\\\\', ',', '▁and', '▁quotes', '▁\'""', ""'"", '▁in', '▁surprising', '▁ways', '.']"
punctuation-heavy text,google/gemma-2-2b-it -> gpt2,"Wait... what?! --- tokenizers split: commas, colons; braces { }, brackets [ ], slashes /, backslashes \\, and quotes '""' in surprising ways.",140,23,38,1.6522,0.2714,"['Wait', '...', 'Ġwhat', '?!', 'Ġ---', 'Ġtoken', 'izers', 'Ġsplit', ':', 'Ġcomm', 'as', ',', 'Ġcol', 'ons', ';', 'Ġbraces', 'Ġ{', 'Ġ},', 'Ġbrackets', 'Ġ[', 'Ġ],', 'Ġsl', 'ashes', 'Ġ/', ',', 'Ġback', 'sl', 'ashes', 'Ġ\\\\', ',', 'Ġand', 'Ġquotes', ""Ġ'"", '""\'', 'Ġin', 'Ġsurprising', 'Ġways', '.']"
JSON payload,Qwen/Qwen2.5-1.5B-Instruct,"{""model"":""qwen2.5"",""prompt_tokens"":128,""decode_tokens"":64,""use_cache"":true,""metadata"":{""team"":""infra"",""env"":""dev""}}",115,1,37,37.0,0.3217,"['{""', 'model', '"":""', 'q', 'wen', '2', '.', '5', '"",""', 'prompt', '_tokens', '"":', '1', '2', '8', ',""', 'decode', '_tokens', '"":', '6', '4', ',""', 'use', '_cache', '"":', 'true', ',""', 'metadata', '"":{""', 'team', '"":""', 'infra', '"",""', 'env', '"":""', 'dev', '""}}']"
punctuation-heavy text,Qwen/Qwen2.5-1.5B-Instruct,"Wait... what?! --- tokenizers split: commas, colons; braces { }, brackets [ ], slashes /, backslashes \\, and quotes '""' in surprising ways.",140,23,34,1.4783,0.2429,"['Wait', '...', 'Ġwhat', '?!', 'Ġ---', 'Ġtoken', 'izers', 'Ġsplit', ':', 'Ġcommas', ',', 'Ġcol', 'ons', ';', 'Ġbraces', 'Ġ{', 'Ġ},', 'Ġbrackets', 'Ġ[', 'Ġ],', 'Ġslashes', 'Ġ/', ',', 'Ġback', 'slashes', 'Ġ\\\\', ',', 'Ġand', 'Ġquotes', 'Ġ\'""\'', 'Ġin', 'Ġsurprising', 'Ġways', '.']"
emoji-heavy text,Qwen/Qwen2.5-1.5B-Instruct,"The launch looked great 🚀🔥, but the logs were noisy 😅📉 and the retry loop kept spinning 🔁🤖 until the queue recovered ✅.",119,23,33,1.4348,0.2773,"['The', 'Ġlaunch', 'Ġlooked', 'Ġgreat', 'ĠðŁ', 'ļ', 'Ģ', 'ðŁĶ¥', ',', 'Ġbut', 'Ġthe', 'Ġlogs', 'Ġwere', 'Ġnoisy', 'ĠðŁĺ', 'ħ', 'ðŁĵī', 'Ġand', 'Ġthe', 'Ġretry', 'Ġloop', 'Ġkept', 'Ġspinning', 'ĠðŁĶ', 'ģ', 'ðŁ¤ĸ', 'Ġuntil', 'Ġthe', 'Ġqueue', 'Ġrecovered', 'Ġâľ', 'ħ', '.']"
SQL query,Qwen/Qwen2.5-1.5B-Instruct,"SELECT model_name, AVG(latency_ms) AS avg_latency FROM inference_logs WHERE status = 'success' GROUP BY model_name ORDER BY avg_latency ASC;",140,18,31,1.7222,0.2214,"['SELECT', 'Ġmodel', '_name', ',', 'ĠAVG', '(lat', 'ency', '_ms', ')', 'ĠAS', 'Ġavg', '_latency', 'ĠFROM', 'Ġinference', '_logs', 'ĠWHERE', 'Ġstatus', 'Ġ=', ""Ġ'"", 'success', ""'"", 'ĠGROUP', 'ĠBY', 'Ġmodel', '_name', 'ĠORDER', 'ĠBY', 'Ġavg', '_latency', 'ĠASC', ';']"
extra spaces and newlines,mistralai/Mistral-7B-Instruct-v0.2,"Prompt packing can change counts.

This line has extra spaces.    This part has tabs		and uneven spacing.",105,17,29,1.7059,0.2762,"['▁Prom', 'pt', '▁packing', '▁can', '▁change', '▁counts', '.', '<0x0A>', '<0x0A>', 'This', '▁line', '▁has', '▁extra', '▁spaces', '.', '▁▁▁', '▁This', '▁part', '▁has', '▁t', 'abs', '<0x09>', '<0x09>', 'and', '▁une', 'ven', '▁sp', 'acing', '.']"
extra spaces and newlines,google/gemma-2-2b-it -> gpt2,"Prompt packing can change counts.

This line has extra spaces.    This part has tabs		and uneven spacing.",105,17,28,1.6471,0.2667,"['Prom', 'pt', 'Ġpacking', 'Ġcan', 'Ġchange', 'Ġcounts', '.', 'Ċ', 'Ċ', 'This', 'Ġline', 'Ġhas', 'Ġextra', 'Ġspaces', '.', 'Ġ', 'Ġ', 'Ġ', 'ĠThis', 'Ġpart', 'Ġhas', 'Ġtabs', 'ĉ', 'ĉ', 'and', 'Ġuneven', 'Ġspacing', '.']"
extra spaces and newlines,Qwen/Qwen2.5-1.5B-Instruct,"Prompt packing can change counts.

This line has extra spaces.    This part has tabs		and uneven spacing.",105,17,22,1.2941,0.2095,"['Prompt', 'Ġpacking', 'Ġcan', 'Ġchange', 'Ġcounts', '.ĊĊ', 'This', 'Ġline', 'Ġhas', 'Ġextra', 'Ġspaces', '.', 'ĠĠĠ', 'ĠThis', 'Ġpart', 'Ġhas', 'Ġtabs', 'ĉ', 'ĉand', 'Ġuneven', 'Ġspacing', '.']"
simple English sentence,mistralai/Mistral-7B-Instruct-v0.2,"Hello, I am learning how tokenizers break text into model-readable pieces.",74,11,17,1.5455,0.2297,"['▁Hello', ',', '▁I', '▁am', '▁learning', '▁how', '▁token', 'izers', '▁break', '▁text', '▁into', '▁model', '-', 'read', 'able', '▁pieces', '.']"
simple English sentence,google/gemma-2-2b-it -> gpt2,"Hello, I am learning how tokenizers break text into model-readable pieces.",74,11,16,1.4545,0.2162,"['Hello', ',', 'ĠI', 'Ġam', 'Ġlearning', 'Ġhow', 'Ġtoken', 'izers', 'Ġbreak', 'Ġtext', 'Ġinto', 'Ġmodel', '-', 'readable', 'Ġpieces', '.']"
simple English sentence,Qwen/Qwen2.5-1.5B-Instruct,"Hello, I am learning how tokenizers break text into model-readable pieces.",74,11,15,1.3636,0.2027,"['Hello', ',', 'ĠI', 'Ġam', 'Ġlearning', 'Ġhow', 'Ġtoken', 'izers', 'Ġbreak', 'Ġtext', 'Ġinto', 'Ġmodel', '-readable', 'Ġpieces', '.']"
