scenario_name,tokenizer_name,context_window,prompt_tokens,estimated_ttft_seconds,expected_output_tokens,tokens_per_second,estimated_decode_time_seconds,estimated_total_latency_seconds,decode_load,interpretation
packed_prompt_4096,Qwen/Qwen2.5-1.5B-Instruct,4096,3371,0.2348,2048,25,81.92,82.1548,high,"With prompt_tokens=3371, estimated TTFT is about 0.2348 s. If the model generates 2048 output tokens at 25 tokens/sec, decode takes about 81.92 s and total latency becomes about 82.1548 s. This is only a simulation, not a real benchmark."
packed_prompt_4096,TinyLlama/TinyLlama-1.1B-Chat-v1.0,4096,2663,0.2065,2048,25,81.92,82.1265,high,"With prompt_tokens=2663, estimated TTFT is about 0.2065 s. If the model generates 2048 output tokens at 25 tokens/sec, decode takes about 81.92 s and total latency becomes about 82.1265 s. This is only a simulation, not a real benchmark."
packed_prompt_4096,mistralai/Mistral-7B-Instruct-v0.2,4096,2621,0.2048,2048,25,81.92,82.1248,high,"With prompt_tokens=2621, estimated TTFT is about 0.2048 s. If the model generates 2048 output tokens at 25 tokens/sec, decode takes about 81.92 s and total latency becomes about 82.1248 s. This is only a simulation, not a real benchmark."
packed_prompt_8192,TinyLlama/TinyLlama-1.1B-Chat-v1.0,8192,3877,0.2551,512,10,51.2,51.4551,medium,"With prompt_tokens=3877, estimated TTFT is about 0.2551 s. If the model generates 512 output tokens at 10 tokens/sec, decode takes about 51.2 s and total latency becomes about 51.4551 s. This is only a simulation, not a real benchmark."
packed_prompt_32768,TinyLlama/TinyLlama-1.1B-Chat-v1.0,32768,3877,0.2551,512,10,51.2,51.4551,medium,"With prompt_tokens=3877, estimated TTFT is about 0.2551 s. If the model generates 512 output tokens at 10 tokens/sec, decode takes about 51.2 s and total latency becomes about 51.4551 s. This is only a simulation, not a real benchmark."
packed_prompt_8192,mistralai/Mistral-7B-Instruct-v0.2,8192,3836,0.2534,512,10,51.2,51.4534,medium,"With prompt_tokens=3836, estimated TTFT is about 0.2534 s. If the model generates 512 output tokens at 10 tokens/sec, decode takes about 51.2 s and total latency becomes about 51.4534 s. This is only a simulation, not a real benchmark."
packed_prompt_32768,mistralai/Mistral-7B-Instruct-v0.2,32768,3836,0.2534,512,10,51.2,51.4534,medium,"With prompt_tokens=3836, estimated TTFT is about 0.2534 s. If the model generates 512 output tokens at 10 tokens/sec, decode takes about 51.2 s and total latency becomes about 51.4534 s. This is only a simulation, not a real benchmark."
packed_prompt_32768,Qwen/Qwen2.5-1.5B-Instruct,32768,3371,0.2348,512,10,51.2,51.4348,medium,"With prompt_tokens=3371, estimated TTFT is about 0.2348 s. If the model generates 512 output tokens at 10 tokens/sec, decode takes about 51.2 s and total latency becomes about 51.4348 s. This is only a simulation, not a real benchmark."
packed_prompt_4096,Qwen/Qwen2.5-1.5B-Instruct,4096,3371,0.2348,512,10,51.2,51.4348,medium,"With prompt_tokens=3371, estimated TTFT is about 0.2348 s. If the model generates 512 output tokens at 10 tokens/sec, decode takes about 51.2 s and total latency becomes about 51.4348 s. This is only a simulation, not a real benchmark."
packed_prompt_8192,Qwen/Qwen2.5-1.5B-Instruct,8192,3371,0.2348,512,10,51.2,51.4348,medium,"With prompt_tokens=3371, estimated TTFT is about 0.2348 s. If the model generates 512 output tokens at 10 tokens/sec, decode takes about 51.2 s and total latency becomes about 51.4348 s. This is only a simulation, not a real benchmark."
packed_prompt_4096,TinyLlama/TinyLlama-1.1B-Chat-v1.0,4096,2663,0.2065,512,10,51.2,51.4065,medium,"With prompt_tokens=2663, estimated TTFT is about 0.2065 s. If the model generates 512 output tokens at 10 tokens/sec, decode takes about 51.2 s and total latency becomes about 51.4065 s. This is only a simulation, not a real benchmark."
packed_prompt_4096,mistralai/Mistral-7B-Instruct-v0.2,4096,2621,0.2048,512,10,51.2,51.4048,medium,"With prompt_tokens=2621, estimated TTFT is about 0.2048 s. If the model generates 512 output tokens at 10 tokens/sec, decode takes about 51.2 s and total latency becomes about 51.4048 s. This is only a simulation, not a real benchmark."
packed_prompt_32768,TinyLlama/TinyLlama-1.1B-Chat-v1.0,32768,3877,0.2551,2048,50,40.96,41.2151,high,"With prompt_tokens=3877, estimated TTFT is about 0.2551 s. If the model generates 2048 output tokens at 50 tokens/sec, decode takes about 40.96 s and total latency becomes about 41.2151 s. This is only a simulation, not a real benchmark."
packed_prompt_32768,TinyLlama/TinyLlama-1.1B-Chat-v1.0,32768,3877,0.2551,1024,25,40.96,41.2151,high,"With prompt_tokens=3877, estimated TTFT is about 0.2551 s. If the model generates 1024 output tokens at 25 tokens/sec, decode takes about 40.96 s and total latency becomes about 41.2151 s. This is only a simulation, not a real benchmark."
packed_prompt_8192,TinyLlama/TinyLlama-1.1B-Chat-v1.0,8192,3877,0.2551,2048,50,40.96,41.2151,high,"With prompt_tokens=3877, estimated TTFT is about 0.2551 s. If the model generates 2048 output tokens at 50 tokens/sec, decode takes about 40.96 s and total latency becomes about 41.2151 s. This is only a simulation, not a real benchmark."
packed_prompt_8192,TinyLlama/TinyLlama-1.1B-Chat-v1.0,8192,3877,0.2551,1024,25,40.96,41.2151,high,"With prompt_tokens=3877, estimated TTFT is about 0.2551 s. If the model generates 1024 output tokens at 25 tokens/sec, decode takes about 40.96 s and total latency becomes about 41.2151 s. This is only a simulation, not a real benchmark."
packed_prompt_8192,mistralai/Mistral-7B-Instruct-v0.2,8192,3836,0.2534,2048,50,40.96,41.2134,high,"With prompt_tokens=3836, estimated TTFT is about 0.2534 s. If the model generates 2048 output tokens at 50 tokens/sec, decode takes about 40.96 s and total latency becomes about 41.2134 s. This is only a simulation, not a real benchmark."
packed_prompt_8192,mistralai/Mistral-7B-Instruct-v0.2,8192,3836,0.2534,1024,25,40.96,41.2134,high,"With prompt_tokens=3836, estimated TTFT is about 0.2534 s. If the model generates 1024 output tokens at 25 tokens/sec, decode takes about 40.96 s and total latency becomes about 41.2134 s. This is only a simulation, not a real benchmark."
packed_prompt_32768,mistralai/Mistral-7B-Instruct-v0.2,32768,3836,0.2534,2048,50,40.96,41.2134,high,"With prompt_tokens=3836, estimated TTFT is about 0.2534 s. If the model generates 2048 output tokens at 50 tokens/sec, decode takes about 40.96 s and total latency becomes about 41.2134 s. This is only a simulation, not a real benchmark."
packed_prompt_32768,mistralai/Mistral-7B-Instruct-v0.2,32768,3836,0.2534,1024,25,40.96,41.2134,high,"With prompt_tokens=3836, estimated TTFT is about 0.2534 s. If the model generates 1024 output tokens at 25 tokens/sec, decode takes about 40.96 s and total latency becomes about 41.2134 s. This is only a simulation, not a real benchmark."
packed_prompt_32768,Qwen/Qwen2.5-1.5B-Instruct,32768,3371,0.2348,1024,25,40.96,41.1948,high,"With prompt_tokens=3371, estimated TTFT is about 0.2348 s. If the model generates 1024 output tokens at 25 tokens/sec, decode takes about 40.96 s and total latency becomes about 41.1948 s. This is only a simulation, not a real benchmark."
packed_prompt_8192,Qwen/Qwen2.5-1.5B-Instruct,8192,3371,0.2348,1024,25,40.96,41.1948,high,"With prompt_tokens=3371, estimated TTFT is about 0.2348 s. If the model generates 1024 output tokens at 25 tokens/sec, decode takes about 40.96 s and total latency becomes about 41.1948 s. This is only a simulation, not a real benchmark."
packed_prompt_8192,Qwen/Qwen2.5-1.5B-Instruct,8192,3371,0.2348,2048,50,40.96,41.1948,high,"With prompt_tokens=3371, estimated TTFT is about 0.2348 s. If the model generates 2048 output tokens at 50 tokens/sec, decode takes about 40.96 s and total latency becomes about 41.1948 s. This is only a simulation, not a real benchmark."
packed_prompt_32768,Qwen/Qwen2.5-1.5B-Instruct,32768,3371,0.2348,2048,50,40.96,41.1948,high,"With prompt_tokens=3371, estimated TTFT is about 0.2348 s. If the model generates 2048 output tokens at 50 tokens/sec, decode takes about 40.96 s and total latency becomes about 41.1948 s. This is only a simulation, not a real benchmark."
packed_prompt_4096,Qwen/Qwen2.5-1.5B-Instruct,4096,3371,0.2348,2048,50,40.96,41.1948,high,"With prompt_tokens=3371, estimated TTFT is about 0.2348 s. If the model generates 2048 output tokens at 50 tokens/sec, decode takes about 40.96 s and total latency becomes about 41.1948 s. This is only a simulation, not a real benchmark."
packed_prompt_4096,Qwen/Qwen2.5-1.5B-Instruct,4096,3371,0.2348,1024,25,40.96,41.1948,high,"With prompt_tokens=3371, estimated TTFT is about 0.2348 s. If the model generates 1024 output tokens at 25 tokens/sec, decode takes about 40.96 s and total latency becomes about 41.1948 s. This is only a simulation, not a real benchmark."
packed_prompt_4096,TinyLlama/TinyLlama-1.1B-Chat-v1.0,4096,2663,0.2065,2048,50,40.96,41.1665,high,"With prompt_tokens=2663, estimated TTFT is about 0.2065 s. If the model generates 2048 output tokens at 50 tokens/sec, decode takes about 40.96 s and total latency becomes about 41.1665 s. This is only a simulation, not a real benchmark."
packed_prompt_4096,TinyLlama/TinyLlama-1.1B-Chat-v1.0,4096,2663,0.2065,1024,25,40.96,41.1665,high,"With prompt_tokens=2663, estimated TTFT is about 0.2065 s. If the model generates 1024 output tokens at 25 tokens/sec, decode takes about 40.96 s and total latency becomes about 41.1665 s. This is only a simulation, not a real benchmark."
packed_prompt_4096,mistralai/Mistral-7B-Instruct-v0.2,4096,2621,0.2048,1024,25,40.96,41.1648,high,"With prompt_tokens=2621, estimated TTFT is about 0.2048 s. If the model generates 1024 output tokens at 25 tokens/sec, decode takes about 40.96 s and total latency becomes about 41.1648 s. This is only a simulation, not a real benchmark."
packed_prompt_4096,mistralai/Mistral-7B-Instruct-v0.2,4096,2621,0.2048,2048,50,40.96,41.1648,high,"With prompt_tokens=2621, estimated TTFT is about 0.2048 s. If the model generates 2048 output tokens at 50 tokens/sec, decode takes about 40.96 s and total latency becomes about 41.1648 s. This is only a simulation, not a real benchmark."
packed_prompt_32768,TinyLlama/TinyLlama-1.1B-Chat-v1.0,32768,3877,0.2551,256,10,25.6,25.8551,medium,"With prompt_tokens=3877, estimated TTFT is about 0.2551 s. If the model generates 256 output tokens at 10 tokens/sec, decode takes about 25.6 s and total latency becomes about 25.8551 s. This is only a simulation, not a real benchmark."
packed_prompt_8192,TinyLlama/TinyLlama-1.1B-Chat-v1.0,8192,3877,0.2551,256,10,25.6,25.8551,medium,"With prompt_tokens=3877, estimated TTFT is about 0.2551 s. If the model generates 256 output tokens at 10 tokens/sec, decode takes about 25.6 s and total latency becomes about 25.8551 s. This is only a simulation, not a real benchmark."
packed_prompt_8192,mistralai/Mistral-7B-Instruct-v0.2,8192,3836,0.2534,256,10,25.6,25.8534,medium,"With prompt_tokens=3836, estimated TTFT is about 0.2534 s. If the model generates 256 output tokens at 10 tokens/sec, decode takes about 25.6 s and total latency becomes about 25.8534 s. This is only a simulation, not a real benchmark."
packed_prompt_32768,mistralai/Mistral-7B-Instruct-v0.2,32768,3836,0.2534,256,10,25.6,25.8534,medium,"With prompt_tokens=3836, estimated TTFT is about 0.2534 s. If the model generates 256 output tokens at 10 tokens/sec, decode takes about 25.6 s and total latency becomes about 25.8534 s. This is only a simulation, not a real benchmark."
packed_prompt_32768,Qwen/Qwen2.5-1.5B-Instruct,32768,3371,0.2348,256,10,25.6,25.8348,medium,"With prompt_tokens=3371, estimated TTFT is about 0.2348 s. If the model generates 256 output tokens at 10 tokens/sec, decode takes about 25.6 s and total latency becomes about 25.8348 s. This is only a simulation, not a real benchmark."
packed_prompt_8192,Qwen/Qwen2.5-1.5B-Instruct,8192,3371,0.2348,256,10,25.6,25.8348,medium,"With prompt_tokens=3371, estimated TTFT is about 0.2348 s. If the model generates 256 output tokens at 10 tokens/sec, decode takes about 25.6 s and total latency becomes about 25.8348 s. This is only a simulation, not a real benchmark."
packed_prompt_4096,Qwen/Qwen2.5-1.5B-Instruct,4096,3371,0.2348,256,10,25.6,25.8348,medium,"With prompt_tokens=3371, estimated TTFT is about 0.2348 s. If the model generates 256 output tokens at 10 tokens/sec, decode takes about 25.6 s and total latency becomes about 25.8348 s. This is only a simulation, not a real benchmark."
packed_prompt_4096,TinyLlama/TinyLlama-1.1B-Chat-v1.0,4096,2663,0.2065,256,10,25.6,25.8065,medium,"With prompt_tokens=2663, estimated TTFT is about 0.2065 s. If the model generates 256 output tokens at 10 tokens/sec, decode takes about 25.6 s and total latency becomes about 25.8065 s. This is only a simulation, not a real benchmark."
packed_prompt_4096,mistralai/Mistral-7B-Instruct-v0.2,4096,2621,0.2048,256,10,25.6,25.8048,medium,"With prompt_tokens=2621, estimated TTFT is about 0.2048 s. If the model generates 256 output tokens at 10 tokens/sec, decode takes about 25.6 s and total latency becomes about 25.8048 s. This is only a simulation, not a real benchmark."
packed_prompt_8192,TinyLlama/TinyLlama-1.1B-Chat-v1.0,8192,3877,0.2551,512,25,20.48,20.7351,medium,"With prompt_tokens=3877, estimated TTFT is about 0.2551 s. If the model generates 512 output tokens at 25 tokens/sec, decode takes about 20.48 s and total latency becomes about 20.7351 s. This is only a simulation, not a real benchmark."
packed_prompt_8192,TinyLlama/TinyLlama-1.1B-Chat-v1.0,8192,3877,0.2551,1024,50,20.48,20.7351,high,"With prompt_tokens=3877, estimated TTFT is about 0.2551 s. If the model generates 1024 output tokens at 50 tokens/sec, decode takes about 20.48 s and total latency becomes about 20.7351 s. This is only a simulation, not a real benchmark."
packed_prompt_8192,TinyLlama/TinyLlama-1.1B-Chat-v1.0,8192,3877,0.2551,2048,100,20.48,20.7351,high,"With prompt_tokens=3877, estimated TTFT is about 0.2551 s. If the model generates 2048 output tokens at 100 tokens/sec, decode takes about 20.48 s and total latency becomes about 20.7351 s. This is only a simulation, not a real benchmark."
packed_prompt_32768,TinyLlama/TinyLlama-1.1B-Chat-v1.0,32768,3877,0.2551,512,25,20.48,20.7351,medium,"With prompt_tokens=3877, estimated TTFT is about 0.2551 s. If the model generates 512 output tokens at 25 tokens/sec, decode takes about 20.48 s and total latency becomes about 20.7351 s. This is only a simulation, not a real benchmark."
packed_prompt_32768,TinyLlama/TinyLlama-1.1B-Chat-v1.0,32768,3877,0.2551,1024,50,20.48,20.7351,high,"With prompt_tokens=3877, estimated TTFT is about 0.2551 s. If the model generates 1024 output tokens at 50 tokens/sec, decode takes about 20.48 s and total latency becomes about 20.7351 s. This is only a simulation, not a real benchmark."
packed_prompt_32768,TinyLlama/TinyLlama-1.1B-Chat-v1.0,32768,3877,0.2551,2048,100,20.48,20.7351,high,"With prompt_tokens=3877, estimated TTFT is about 0.2551 s. If the model generates 2048 output tokens at 100 tokens/sec, decode takes about 20.48 s and total latency becomes about 20.7351 s. This is only a simulation, not a real benchmark."
packed_prompt_8192,mistralai/Mistral-7B-Instruct-v0.2,8192,3836,0.2534,2048,100,20.48,20.7334,high,"With prompt_tokens=3836, estimated TTFT is about 0.2534 s. If the model generates 2048 output tokens at 100 tokens/sec, decode takes about 20.48 s and total latency becomes about 20.7334 s. This is only a simulation, not a real benchmark."
packed_prompt_32768,mistralai/Mistral-7B-Instruct-v0.2,32768,3836,0.2534,512,25,20.48,20.7334,medium,"With prompt_tokens=3836, estimated TTFT is about 0.2534 s. If the model generates 512 output tokens at 25 tokens/sec, decode takes about 20.48 s and total latency becomes about 20.7334 s. This is only a simulation, not a real benchmark."
packed_prompt_32768,mistralai/Mistral-7B-Instruct-v0.2,32768,3836,0.2534,2048,100,20.48,20.7334,high,"With prompt_tokens=3836, estimated TTFT is about 0.2534 s. If the model generates 2048 output tokens at 100 tokens/sec, decode takes about 20.48 s and total latency becomes about 20.7334 s. This is only a simulation, not a real benchmark."
packed_prompt_8192,mistralai/Mistral-7B-Instruct-v0.2,8192,3836,0.2534,1024,50,20.48,20.7334,high,"With prompt_tokens=3836, estimated TTFT is about 0.2534 s. If the model generates 1024 output tokens at 50 tokens/sec, decode takes about 20.48 s and total latency becomes about 20.7334 s. This is only a simulation, not a real benchmark."
packed_prompt_32768,mistralai/Mistral-7B-Instruct-v0.2,32768,3836,0.2534,1024,50,20.48,20.7334,high,"With prompt_tokens=3836, estimated TTFT is about 0.2534 s. If the model generates 1024 output tokens at 50 tokens/sec, decode takes about 20.48 s and total latency becomes about 20.7334 s. This is only a simulation, not a real benchmark."
packed_prompt_8192,mistralai/Mistral-7B-Instruct-v0.2,8192,3836,0.2534,512,25,20.48,20.7334,medium,"With prompt_tokens=3836, estimated TTFT is about 0.2534 s. If the model generates 512 output tokens at 25 tokens/sec, decode takes about 20.48 s and total latency becomes about 20.7334 s. This is only a simulation, not a real benchmark."
packed_prompt_4096,Qwen/Qwen2.5-1.5B-Instruct,4096,3371,0.2348,1024,50,20.48,20.7148,high,"With prompt_tokens=3371, estimated TTFT is about 0.2348 s. If the model generates 1024 output tokens at 50 tokens/sec, decode takes about 20.48 s and total latency becomes about 20.7148 s. This is only a simulation, not a real benchmark."
packed_prompt_4096,Qwen/Qwen2.5-1.5B-Instruct,4096,3371,0.2348,2048,100,20.48,20.7148,high,"With prompt_tokens=3371, estimated TTFT is about 0.2348 s. If the model generates 2048 output tokens at 100 tokens/sec, decode takes about 20.48 s and total latency becomes about 20.7148 s. This is only a simulation, not a real benchmark."
packed_prompt_4096,Qwen/Qwen2.5-1.5B-Instruct,4096,3371,0.2348,512,25,20.48,20.7148,medium,"With prompt_tokens=3371, estimated TTFT is about 0.2348 s. If the model generates 512 output tokens at 25 tokens/sec, decode takes about 20.48 s and total latency becomes about 20.7148 s. This is only a simulation, not a real benchmark."
packed_prompt_8192,Qwen/Qwen2.5-1.5B-Instruct,8192,3371,0.2348,512,25,20.48,20.7148,medium,"With prompt_tokens=3371, estimated TTFT is about 0.2348 s. If the model generates 512 output tokens at 25 tokens/sec, decode takes about 20.48 s and total latency becomes about 20.7148 s. This is only a simulation, not a real benchmark."
packed_prompt_8192,Qwen/Qwen2.5-1.5B-Instruct,8192,3371,0.2348,1024,50,20.48,20.7148,high,"With prompt_tokens=3371, estimated TTFT is about 0.2348 s. If the model generates 1024 output tokens at 50 tokens/sec, decode takes about 20.48 s and total latency becomes about 20.7148 s. This is only a simulation, not a real benchmark."
packed_prompt_8192,Qwen/Qwen2.5-1.5B-Instruct,8192,3371,0.2348,2048,100,20.48,20.7148,high,"With prompt_tokens=3371, estimated TTFT is about 0.2348 s. If the model generates 2048 output tokens at 100 tokens/sec, decode takes about 20.48 s and total latency becomes about 20.7148 s. This is only a simulation, not a real benchmark."
packed_prompt_32768,Qwen/Qwen2.5-1.5B-Instruct,32768,3371,0.2348,512,25,20.48,20.7148,medium,"With prompt_tokens=3371, estimated TTFT is about 0.2348 s. If the model generates 512 output tokens at 25 tokens/sec, decode takes about 20.48 s and total latency becomes about 20.7148 s. This is only a simulation, not a real benchmark."
packed_prompt_32768,Qwen/Qwen2.5-1.5B-Instruct,32768,3371,0.2348,1024,50,20.48,20.7148,high,"With prompt_tokens=3371, estimated TTFT is about 0.2348 s. If the model generates 1024 output tokens at 50 tokens/sec, decode takes about 20.48 s and total latency becomes about 20.7148 s. This is only a simulation, not a real benchmark."
packed_prompt_32768,Qwen/Qwen2.5-1.5B-Instruct,32768,3371,0.2348,2048,100,20.48,20.7148,high,"With prompt_tokens=3371, estimated TTFT is about 0.2348 s. If the model generates 2048 output tokens at 100 tokens/sec, decode takes about 20.48 s and total latency becomes about 20.7148 s. This is only a simulation, not a real benchmark."
packed_prompt_4096,TinyLlama/TinyLlama-1.1B-Chat-v1.0,4096,2663,0.2065,512,25,20.48,20.6865,medium,"With prompt_tokens=2663, estimated TTFT is about 0.2065 s. If the model generates 512 output tokens at 25 tokens/sec, decode takes about 20.48 s and total latency becomes about 20.6865 s. This is only a simulation, not a real benchmark."
packed_prompt_4096,TinyLlama/TinyLlama-1.1B-Chat-v1.0,4096,2663,0.2065,1024,50,20.48,20.6865,high,"With prompt_tokens=2663, estimated TTFT is about 0.2065 s. If the model generates 1024 output tokens at 50 tokens/sec, decode takes about 20.48 s and total latency becomes about 20.6865 s. This is only a simulation, not a real benchmark."
